,mof,conc,p,ad,q,std,heat,status
0,GACQAE_clean_min_charges,0_0.03,1,ethene,3.12308e-05,2.7933e-06,-19.83316,finished
1,GACQAE_clean_min_charges,0_0.03,10,ethene,0.0002907724,1.25364e-05,-19.64583,finished
2,GACQAE_clean_min_charges,0_0.03,100,ethene,0.0029569663,3.90155e-05,-19.66533,finished
3,GACQAE_clean_min_charges,0_0.03,1000,ethene,0.0295329409,0.000123614,-19.67131,finished
4,GACQAE_clean_min_charges,0_0.03,5000,ethene,0.1479513261,0.000532555,-19.65708,finished
5,GACQAE_clean_min_charges,0_0.03,10000,ethene,0.2944241885,0.0010682225,-19.6901,finished
6,GACQAE_clean_min_charges,0_0.03,25000,ethene,0.7124603514,0.0033308421,-19.69852,finished
7,GACQAE_clean_min_charges,0_0.03,50000,ethene,1.4064212392,0.0057445302,-19.86546,finished
8,GACQAE_clean_min_charges,0_0.03,66700,ethene,1.8577204515,0.0084554897,-20.04232,finished
9,GACQAE_clean_min_charges,0_0.03,75000,ethene,2.0762758195,0.0056252982,-20.15961,finished
10,GACQAE_clean_min_charges,0_0.03,100000,ethene,2.6939160241,0.0080067435,-20.38407,finished
11,GACQAE_clean_min_charges,0_0.03,250000,ethene,5.1710426724,0.0,,run
12,GACQAE_clean_min_charges,0_0.03,500000,ethene,6.8418040655,0.0,,run
13,GACQAE_clean_min_charges,0_0.03,750000,ethene,7.5582925202,0.0,,run
14,GACQAE_clean_min_charges,0_0.03,1000000,ethene,7.9328971289,0.0,,run
15,GACQAE_clean_min_charges,0_0.03,1,ethane,7.31453e-05,1.28828e-05,-22.99852,finished
16,GACQAE_clean_min_charges,0_0.03,10,ethane,0.0007392312,1.2993e-05,-23.10632,finished
17,GACQAE_clean_min_charges,0_0.03,100,ethane,0.0075046824,6.00587e-05,-23.03484,finished
18,GACQAE_clean_min_charges,0_0.03,1000,ethane,0.0752516168,0.0005139895,-23.04298,finished
19,GACQAE_clean_min_charges,0_0.03,5000,ethane,0.3788087284,0.0025852503,-23.02067,finished
20,GACQAE_clean_min_charges,0_0.03,10000,ethane,0.7432051435,0.0032589242,-23.05822,finished
21,GACQAE_clean_min_charges,0_0.03,25000,ethane,1.9227356042,0.0049491044,-23.62519,finished
22,GACQAE_clean_min_charges,0_0.03,50000,ethane,3.6876137439,0.0160408922,-24.94147,finished
23,GACQAE_clean_min_charges,0_0.03,66700,ethane,4.5312370603,0.0,,run
24,GACQAE_clean_min_charges,0_0.03,75000,ethane,4.8666197093,0.0,,run
25,GACQAE_clean_min_charges,0_0.03,100000,ethane,5.6170859799,0.0,,run
26,GACQAE_clean_min_charges,0_0.03,250000,ethane,7.3814323174,0.0,,run
