,mof,conc,p,ad,q,std,heat,vdw,coul,status
0,KIYMAI_clean_min_charges,0_0.01,1,CO2,0.0023914956,0.0001268375,-44.14085,-169.707885,-60.15247,finished
1,KIYMAI_clean_min_charges,0_0.01,10,CO2,0.0229263524,0.0004130331,-43.87643,-1626.567429,-567.34354,finished
2,KIYMAI_clean_min_charges,0_0.01,100,CO2,0.2076515442,0.0046098612,-43.15303,-14699.828699,-4930.99067,finished
3,KIYMAI_clean_min_charges,0_0.01,1000,CO2,1.2531336934,0.0131692411,-42.32956,-88406.135262,-27675.08725,finished
4,KIYMAI_clean_min_charges,0_0.01,5000,CO2,2.4982952023,0.006447031,-41.70207,-175480.199719,-53573.75919,finished
5,KIYMAI_clean_min_charges,0_0.01,10000,CO2,2.8654950736,0.0051342923,-40.6715,-200520.507430,-60902.96139,finished
6,KIYMAI_clean_min_charges,0_0.01,25000,CO2,3.213538167,0.0032720979,-38.49951,-223205.656999,-67340.76998,finished
7,KIYMAI_clean_min_charges,0_0.01,50000,CO2,3.4526679572,0.0086389876,-37.3116,-238082.961002,-71146.51439,finished
8,KIYMAI_clean_min_charges,0_0.01,66700,CO2,3.5570286914,0.0041570627,-36.86564,-244570.380512,-72834.84301,finished
9,KIYMAI_clean_min_charges,0_0.01,75000,CO2,3.5985043768,0.0141391997,-37.0961,-247169.729440,-73309.59685,finished
10,KIYMAI_clean_min_charges,0_0.01,100000,CO2,3.7258776494,0.0107670237,-36.55373,-254922.493210,-74956.09177,finished
11,KIYMAI_clean_min_charges,0_0.01,250000,CO2,4.2450819347,0.0072078198,-36.47163,-287641.759986,-81097.20250,finished
12,KIYMAI_clean_min_charges,0_0.01,500000,CO2,4.7468749774,0.0,,,,run
13,KIYMAI_clean_min_charges,0_0.01,750000,CO2,5.1050304792,0.0,,,,run
14,KIYMAI_clean_min_charges,0_0.01,1000000,CO2,5.3066288794,0.0,,,,run
15,KIYMAI_clean_min_charges,0_0.01,1,methanol,0.1962821178,0.0102328567,-65.55018,-3350.959953,-32169.33736,finished
16,KIYMAI_clean_min_charges,0_0.01,10,methanol,0.4143198169,0.0030235216,-57.07939,-10709.545009,-54211.88427,finished
17,KIYMAI_clean_min_charges,0_0.01,100,methanol,1.4502226086,0.0560487932,-54.65478,-45710.662471,-145349.12739,finished
18,KIYMAI_clean_min_charges,0_0.01,200,methanol,2.1469015834,0.0536787649,-55.22995,-69647.712574,-203649.16009,finished
19,KIYMAI_clean_min_charges,0_0.01,300,methanol,2.5601283732,0.0802528994,-54.93246,-84252.886088,-236457.21128,finished
20,KIYMAI_clean_min_charges,0_0.01,400,methanol,2.8003308948,0.0563381102,-55.43563,-92331.731358,-254929.17654,finished
21,KIYMAI_clean_min_charges,0_0.01,500,methanol,2.9749204474,0.0527781217,-54.96052,-98723.328024,-268841.71014,finished
22,KIYMAI_clean_min_charges,0_0.01,750,methanol,3.3316881783,0.0201978498,-55.47143,-111359.567357,-291804.07936,finished
23,KIYMAI_clean_min_charges,0_0.01,1000,methanol,3.6209675541,0.0680394637,-56.048,-121635.942164,-307865.31447,finished
24,KIYMAI_clean_min_charges,0_0.01,1150,methanol,3.728039519,0.0584707654,-55.44456,-125119.231058,-313417.64074,finished
25,KIYMAI_clean_min_charges,0_0.01,1300,methanol,3.8063411002,0.0785759236,-55.01388,-128107.925231,-317586.85835,finished
26,KIYMAI_clean_min_charges,0_0.01,1450,methanol,3.8821347616,0.0916541246,-55.95775,-130582.213732,-324320.90751,finished
27,KIYMAI_clean_min_charges,0_0.01,1600,methanol,3.8901258367,0.1025827963,-55.23132,-130858.662476,-327588.72742,finished
28,KIYMAI_clean_min_charges,0_0.01,1684,methanol,4.0808357017,0.1331510454,-55.82313,-136343.921889,-335531.46682,finished
29,KIYMAI_clean_min_charges,0_0.01,1700,methanol,3.9980035377,0.0624180739,-54.80074,-134556.268591,-330459.67465,finished
30,KIYMAI_clean_min_charges,0_0.03,1,CO2,0.0013979686,2.14681e-05,-42.16992,-98.545340,-28.44402,finished
31,KIYMAI_clean_min_charges,0_0.03,10,CO2,0.0134560962,0.0001950561,-42.06794,-949.187774,-269.67268,finished
32,KIYMAI_clean_min_charges,0_0.03,100,CO2,0.1315197063,0.0019968233,-42.08271,-9272.457980,-2646.65574,finished
33,KIYMAI_clean_min_charges,0_0.03,1000,CO2,0.9735779811,0.0184840138,-41.97643,-68539.225604,-19489.40985,finished
34,KIYMAI_clean_min_charges,0_0.03,5000,CO2,2.2436933114,0.0088157613,-41.40793,-157234.132645,-44215.54552,finished
35,KIYMAI_clean_min_charges,0_0.03,10000,CO2,2.6802050313,0.0088580371,-40.52286,-187110.491091,-52329.36471,finished
36,KIYMAI_clean_min_charges,0_0.03,25000,CO2,3.0948815703,0.0060317937,-38.85424,-214516.143720,-59346.99077,finished
37,KIYMAI_clean_min_charges,0_0.03,50000,CO2,3.3198892967,0.0050257447,-37.24234,-228807.560808,-62888.60418,finished
38,KIYMAI_clean_min_charges,0_0.03,66700,CO2,3.4048021147,0.0110025887,-36.65513,-234111.864996,-64222.40291,finished
39,KIYMAI_clean_min_charges,0_0.03,75000,CO2,3.4402439516,0.0038746633,-36.51453,-236376.190274,-64406.24556,finished
40,KIYMAI_clean_min_charges,0_0.03,100000,CO2,3.5215948725,0.0048003267,-36.18453,-241416.331490,-65510.75216,finished
41,KIYMAI_clean_min_charges,0_0.03,250000,CO2,3.8138290062,0.0047585778,-35.34824,-260044.033643,-68786.01127,finished
42,KIYMAI_clean_min_charges,0_0.03,500000,CO2,4.1233860589,0.0190388118,-35.21082,-280279.806511,-71726.91383,finished
43,KIYMAI_clean_min_charges,0_0.03,750000,CO2,4.3597070741,0.0190428607,-35.02626,-295980.846993,-74421.95494,finished
44,KIYMAI_clean_min_charges,0_0.03,1000000,CO2,4.5385429315,0.0,,,,run
45,KIYMAI_clean_min_charges,0_0.03,1,methanol,0.0038995519,0.0003556662,-51.25814,-129.661204,-317.00123,finished
46,KIYMAI_clean_min_charges,0_0.03,10,methanol,0.0395145889,0.0025963886,-51.43859,-1326.598072,-3211.67960,finished
47,KIYMAI_clean_min_charges,0_0.03,100,methanol,0.3819059344,0.0215640232,-51.68484,-13213.438890,-29806.02380,finished
48,KIYMAI_clean_min_charges,0_0.03,200,methanol,0.7027630585,0.0693208706,-51.99755,-24064.656416,-54427.04437,finished
49,KIYMAI_clean_min_charges,0_0.03,300,methanol,1.0028815745,0.0283276367,-52.3874,-34628.028189,-76566.15057,finished
50,KIYMAI_clean_min_charges,0_0.03,400,methanol,1.195741155,0.0776966801,-51.32323,-40469.599156,-92312.60159,finished
51,KIYMAI_clean_min_charges,0_0.03,500,methanol,1.3915155348,0.0638180504,-51.95752,-47028.786848,-107194.54487,finished
52,KIYMAI_clean_min_charges,0_0.03,750,methanol,1.7962794337,0.0669259033,-51.77144,-59938.692242,-138159.88063,finished
53,KIYMAI_clean_min_charges,0_0.03,1000,methanol,2.0551204358,0.1005189231,-51.48621,-67578.303277,-158598.68010,finished
54,KIYMAI_clean_min_charges,0_0.03,1150,methanol,2.2231444487,0.0349329802,-51.51287,-73018.388124,-172079.34912,finished
