,mof,conc,p,ad,q,std,heat,status,coul,vdw
0,KIYMAI_clean_min_charges,0_0.01,1,ethene,9.447e-07,1.1217e-06,-20.9934,finished,0.00000,-0.045161
1,KIYMAI_clean_min_charges,0_0.01,10,ethene,1.33068e-05,2.6935e-06,-21.23448,finished,0.00000,-0.668441
2,KIYMAI_clean_min_charges,0_0.01,100,ethene,0.0001357807,1.80538e-05,-21.31334,finished,0.00000,-6.760327
3,KIYMAI_clean_min_charges,0_0.01,1000,ethene,0.00139442,2.49865e-05,-21.31101,finished,0.00000,-69.175680
4,KIYMAI_clean_min_charges,0_0.01,5000,ethene,0.0065835627,0.0002221031,-21.35563,finished,0.00000,-327.988292
5,KIYMAI_clean_min_charges,0_0.01,10000,ethene,0.012734058,0.0004333524,-21.33677,finished,0.00000,-635.077946
6,KIYMAI_clean_min_charges,0_0.01,25000,ethene,0.0282799962,0.0002031971,-21.3191,finished,0.00000,-1419.795174
7,KIYMAI_clean_min_charges,0_0.01,50000,ethene,0.0491273369,0.0012640926,-21.1824,finished,0.00000,-2483.447351
8,KIYMAI_clean_min_charges,0_0.01,66700,ethene,0.0612484888,0.000571606,-21.14233,finished,0.00000,-3107.628697
9,KIYMAI_clean_min_charges,0_0.01,75000,ethene,0.0677851334,0.0005248739,-21.15143,finished,0.00000,-3445.440192
10,KIYMAI_clean_min_charges,0_0.01,100000,ethene,0.0828781955,0.0004945572,-21.08543,finished,0.00000,-4232.682081
11,KIYMAI_clean_min_charges,0_0.01,250000,ethene,0.1572015234,0.0016685779,-20.73643,finished,0.00000,-8205.943110
12,KIYMAI_clean_min_charges,0_0.01,500000,ethene,0.2547281212,0.0025604664,-20.49128,finished,0.00000,-13604.614981
13,KIYMAI_clean_min_charges,0_0.01,750000,ethene,0.333108012,0.0039093761,-20.36409,finished,0.00000,-18169.800456
14,KIYMAI_clean_min_charges,0_0.01,1000000,ethene,0.3954562572,0.0064982365,-20.24881,finished,0.00000,-22030.163242
15,KIYMAI_clean_min_charges,0_0.01,1,ethane,4.1789e-06,1.1584e-06,-25.74691,finished,0.00000,-0.238894
16,KIYMAI_clean_min_charges,0_0.01,10,ethane,3.18783e-05,4.7808e-06,-25.07803,finished,0.00000,-1.796826
17,KIYMAI_clean_min_charges,0_0.01,100,ethane,0.0003233731,2.70613e-05,-25.42828,finished,0.00000,-18.585983
18,KIYMAI_clean_min_charges,0_0.01,1000,ethane,0.0030784852,7.29032e-05,-25.42262,finished,0.00000,-176.915494
19,KIYMAI_clean_min_charges,0_0.01,5000,ethane,0.0134295564,0.0004576045,-25.45374,finished,0.00000,-775.181843
20,KIYMAI_clean_min_charges,0_0.01,10000,ethane,0.0229428887,0.0006272822,-25.32636,finished,0.00000,-1328.560001
