mof,K,G
KIYMAI,84.0572733164892,74.2803010439126
COGWEB,19.0708956537449,1.428914540469
BUVXOG,11.2616333143409,17.2206298569721
KIXXOG,97.1123909228535,84.1523230007175
GINLIA,9.84905665086569,2.62061334811398
FEFCUQ,282.25674678177,102.980137612026
DEYLUQ,-3.41826935188194,3.85207739593069
FUNBEW,17.3358525184854,8.91586546193201
HIFTOG,34.3913766286186,20.3035969723079
KAYBIX,98.7762061899418,88.0993793740428
IBICON,17.1082872973775,10.2570755077205
GUXLIU,36.1930520982364,11.5306579894648
IXODUV,47.0747285830783,37.1986038980214
FUNCAT,24.0367130347051,10.9221253305535
NUYWOU,,
FIQCEN,,
AFITIT,2411.58096540472,13.820176628707
EKOPOK,24.0749836171653,10.5360475365822
GAXWEJ,21.4487178262554,-6.35195904223503
DEYVUA,15.927511118017,3.3331786670948
AROFET,6.70609610619847,2.59040090041446
ECIWUJ,39.0300432999443,19.3386681169354
