,mof,conc,K,G
0,KIYMAI_clean_min_charges,0_0.01,19.677265,15.406427
1,KIYMAI_clean_min_charges,0_0.03,19.68377,15.641125
2,KIYMAI_clean_min_charges,0_0.12,21.009766,17.239796
3,KIYMAI_clean_min_charges,0,19.74921,15.471342
4,KIYMAI_clean_min_charges,0_0.06,19.342787,16.846731
5,COGWEB_clean_min_charges,0_0.02,27.083925,18.385426
6,COGWEB_clean_min_charges,0_0.16,34.594074,17.875387
7,COGWEB_clean_min_charges,0_0.05,28.6352,18.507294
8,COGWEB_clean_min_charges,1_0.16,23.248892,16.189215
9,COGWEB_clean_min_charges,0_0.04,28.355042,18.484894
10,COGWEB_clean_min_charges,1_0.08,26.098404,17.719662
11,COGWEB_clean_min_charges,0_0.08,29.321163,18.138817
12,COGWEB_clean_min_charges,1_0.02,26.973032,18.29243
13,COGWEB_clean_min_charges,1_0.04,26.698301,18.281517
14,COGWEB_clean_min_charges,0,27.731363,18.714184
15,BUVXOG_clean_min_charges,0_0.02,33.273323,14.228114
16,BUVXOG_clean_min_charges,0_0.04,32.730072,14.818728
17,BUVXOG_clean_min_charges,0_0.08,30.765615,15.039894
18,BUVXOG_clean_min_charges,0,32.361214,13.877637
19,KIXXOG_clean_min_charges,0_0.02,22.265234,16.988274
20,KIXXOG_clean_min_charges,0_0.03,21.935669,17.243088
21,KIXXOG_clean_min_charges,0_0.04,21.294186,17.007357
22,KIXXOG_clean_min_charges,0_0.12,21.943834,16.607973
23,KIXXOG_clean_min_charges,0,21.87043,16.75019
24,KIXXOG_clean_min_charges,0_0.06,21.662876,16.66361
25,GINLIA_clean_min_charges,0_0.25,20.125927,10.105782
26,GINLIA_clean_min_charges,0_0.12,28.844799,11.3067665
27,GINLIA_clean_min_charges,0,29.852516,12.21348
28,GINLIA_clean_min_charges,0_0.06,28.820715,11.566003
29,FEFCUQ_clean_min_charges,0_0.02,23.06199,13.527008
30,FEFCUQ_clean_min_charges,0_0.16,24.836859,13.627138
31,FEFCUQ_clean_min_charges,1_0.16,26.200909,13.321433
32,FEFCUQ_clean_min_charges,0_0.04,24.637232,13.936255
33,FEFCUQ_clean_min_charges,1_0.08,22.094233,13.090939
34,FEFCUQ_clean_min_charges,0_0.08,27.585302,14.648059
35,FEFCUQ_clean_min_charges,1_0.02,22.37707,13.344859
36,FEFCUQ_clean_min_charges,1_0.04,23.907988,13.746678
37,FEFCUQ_clean_min_charges,0,23.191338,13.7713175
38,DEYLUQ_clean_min_charges,1_0.03,17.414452,11.117202
39,DEYLUQ_clean_min_charges,0_0.01,16.805899,10.913043
40,DEYLUQ_clean_min_charges,0_0.03,16.674019,10.8974085
41,DEYLUQ_clean_min_charges,1_0.12,18.372017,10.384109
42,DEYLUQ_clean_min_charges,1_0.06,17.805428,11.431007
43,DEYLUQ_clean_min_charges,1_0.01,17.107779,10.894818
44,DEYLUQ_clean_min_charges,0_0.12,15.167734,8.685109
45,DEYLUQ_clean_min_charges,0,16.937592,11.323868
46,DEYLUQ_clean_min_charges,0_0.06,15.909558,9.628059
47,FUNBEW_clean_min_charges,0_0.25,32.506603,13.824625
48,FUNBEW_clean_min_charges,1_0.25,32.40266,15.032296
49,FUNBEW_clean_min_charges,1_0.12,33.264088,14.540778
50,FUNBEW_clean_min_charges,1_0.06,33.96633,11.861281
51,FUNBEW_clean_min_charges,0_0.12,32.151478,12.156852
52,FUNBEW_clean_min_charges,0,35.593544,12.097469
53,FUNBEW_clean_min_charges,0_0.06,34.780766,12.222485
54,HIFTOG_clean_min_charges,0_0.02,35.780346,16.122164
