,mof,conc,iter,d_e,volume_ratio,status,max
0,KIYMAI_clean_min_charges,0,0,0,100,conv,0.03
1,KIYMAI_clean_min_charges,0_0.01,5,-30.6305,101,iter,0.03
2,KIYMAI_clean_min_charges,0_0.03,84,-0.00525032,98,iter,0.03
3,KIYMAI_clean_min_charges,0_0.06,480,-0.00796303,87,iter,0.03
4,KIYMAI_clean_min_charges,0_0.12,1534,-0.0000819503,74,conv,0.03
5,COGWEB_clean_min_charges,0,0,0,100,conv,0.08
6,COGWEB_clean_min_charges,0_0.02,27,-0.00556624,99,iter,0.08
7,COGWEB_clean_min_charges,0_0.04,93,-0.00360995,99,iter,0.08
8,COGWEB_clean_min_charges,0_0.05,295,-0.000896609,99,iter,0.08
9,COGWEB_clean_min_charges,0_0.08,922,-0.000176234,98,iter,0.08
10,COGWEB_clean_min_charges,0_0.16,764,-0.0000462699,97,conv,0.08
11,COGWEB_clean_min_charges,1_0.02,22,-0.0439393,99,iter,0.08
12,COGWEB_clean_min_charges,1_0.04,80,-0.00634025,99,iter,0.08
13,COGWEB_clean_min_charges,1_0.05,273,-0.000269874,99,iter,0.08
14,COGWEB_clean_min_charges,1_0.08,562,-0.000141748,99,iter,0.08
15,COGWEB_clean_min_charges,1_0.16,2000,-0.001281,80,iter,0.08
16,BUVXOG_clean_min_charges,0,0,0,100,conv,0.08
17,BUVXOG_clean_min_charges,0_0.02,19,-0.0409084,99,iter,0.08
18,BUVXOG_clean_min_charges,0_0.04,211,-0.0007833,95,iter,0.08
19,BUVXOG_clean_min_charges,0_0.08,516,-0.0000318959,99,conv,0.08
20,KIXXOG_clean_min_charges,0,0,0,100,conv,0.06
21,KIXXOG_clean_min_charges,0_0.02,11,-1.52677,99,iter,0.06
22,KIXXOG_clean_min_charges,0_0.03,62,-0.0257604,97,iter,0.06
23,KIXXOG_clean_min_charges,0_0.04,193,-0.00163472,96,iter,0.06
24,KIXXOG_clean_min_charges,0_0.06,287,-0.00134449,97,iter,0.06
25,KIXXOG_clean_min_charges,0_0.12,106,-0.0000154078,100,conv,0.06
26,GINLIA_clean_min_charges,0,0,0,100,conv,0.12
27,GINLIA_clean_min_charges,0_0.06,8,-1.46475,100,iter,0.12
28,GINLIA_clean_min_charges,0_0.12,158,-0.0114794,96,iter,0.12
29,GINLIA_clean_min_charges,0_0.25,939,-0.00851877,65,iter,0.12
30,FEFCUQ_clean_min_charges,0,0,0,100,conv,0.08
31,FEFCUQ_clean_min_charges,0_0.02,31,-0.00906394,99,iter,0.08
32,FEFCUQ_clean_min_charges,0_0.04,189,-0.00109198,99,iter,0.08
