MOF,DFT_AV,DFT_vol,Relax_AV,Relax_vol,MCMD_AV,MCMD_vol,NVT_AV,NVT_vol,NPT_AV,NPT_vol,DFT,Relax,MCMD,NVT,NVT_std,NPT,NPT_std
EMITUQ,11485.6798,50234.6,8775.124600000001,47061.7,8059.1031,47046.7,8607.127300799999,47180.40000000001,6805.591,43458.95,6.7687924724,6.1620957401,6.4299926143,5.748682954975,0.033857899633253384,4.8281568671125,0.08489200787553278
COGWEB,15717.1,73129.8,14374.7,71622.7,15384.56422,73211.0,13693.55,71622.69999999998,3353.939,54088.909999999996,7.6874996644,7.5047439315,7.8927598846,7.325240143337499,0.03105223530158622,3.0106791855875,0.18079872764628416
BONWIL,325.501,35000.1,553.867,36390.8,984.815,37965.1,576.42966,36390.8,787.7941000000001,37466.08,0.3660650065,0.9067619647,1.4233776942,0.9136018449375001,0.011528308371420654,0.8479261465625,0.037106347014978905
AROFET,5807.35,32505.0,5360.67,30900.8,14175.0,45068.6,5331.529322200001,30830.599999999995,1962.4722191,24480.07,6.8916029419,5.4674953875,11.5105237371,4.86606181375,0.040996232303372966,1.7384142501625002,0.14531032305049463
GACQAE,17502.6,60697.1,15890.5,58666.8,26519.8,71783.8,14989.61,58666.80000000001,646.2515000000001,34988.090000000004,9.8945145801,9.5547915836,11.873858674,8.884188456875,0.05830066100808878,1.7506859055125,0.05141441249835615
CUNWEO,10489.9,59574.7,4972.3,54797.2,19215.5,77257.4,4325.58216,54797.2,2951.351829,51299.91000000001,4.6493017766,3.076648576,7.731399425,2.8680481156375004,0.04488841228612839,2.4042123505874997,0.06857356433155938
GAXWEJ,1875.475,46285.2,2230.01661,43915.3,2059.77187,44449.2,2073.7669999999994,43915.3,197.6827,40738.12,2.5060780863,1.5237041055,1.7241726506,1.638325315325,0.00895751009551714,0.08042523236249999,0.01881625262612918
DAGDIZ,5645.83,50653.5,4894.17,51463.4,5425.14,52295.6,4876.264499999999,51463.40000000001,5222.112999999999,52084.44,2.5879449129,2.1850129837,2.4782659489,2.2031663875125,0.016582340499354746,2.2996974579374996,0.024801422155016895
BENXUP,1849.97,48176.2,401.911,42847.7,1823.39,46586.3,277.82459,42847.7,53.37304,40054.05,3.0420772403,9.27395e-05,2.6964001797,0.0051366095125,0.004510759532352074,1.4865237499999999e-05,3.6223297373338934e-05
FIPXEJ,2679.87,48513.2,1005.03,45109.1,2438.51,48692.3,1129.80238,45109.09999999999,1861.396,47425.47,3.4697244119,2.5600935531,3.4507500275,2.8347607534375,0.07095811754654523,3.4436580707125,0.0023992259300470884
AVIMOI,2888.5,29914.0,1721.84,29332.8,8902.24,38598.0,1689.3939882000002,29332.8,1864.283279,29620.110000000004,3.6141960833,2.6868986109,7.1953859099,2.6330469298,0.07203131866601409,3.0743036177375,0.14162068820866047
ANUGIA,20489.5,43540.9,20690.9,44458.3,22115.4,45850.2,20621.08,44458.3,19242.21,42954.469999999994,17.7845974672,17.8442872147,18.668910081,17.8882087181625,0.047845249736305634,17.192423540825,0.2251460326775137
GITWIQ,3603.59,51333.2,3334.76,48343.8,3609.04,49116.0,3350.5199999999995,48343.8,3443.8070000000007,48750.37999999999,2.7725225778,2.5097466666,2.5968262299,2.522448926675,0.010964274216957145,2.545590114575,0.017124821732886365
GULPIN,746.856,18154.0,326.972,17867.3,1234.2,19709.4,280.5524,17867.299999999996,123.34746999999997,17226.17,2.2853829092,1.167931129,3.0501814822,0.7533527531875,0.08587167446512123,0.1647119380125,0.10040828397587218
GUYLUI,1083.62,28911.8,279.141,27637.7,564.173,29322.9,48.42127000000001,27637.7,64.38753,28192.21,2.2366471958,0.9570528353,1.164477836,0.0122589606875,0.015462003964657408,0.0195779642,0.020696008927891127
