MOF,Relax_AV,Relax_vol,NVT_AV,NVT_vol,NPT_AV,NPT_vol,Relax,NVT,NVT_std,NPT,NPT_std
EMITUQ,8775.124600000001,47061.7,8607.127300799999,47180.40000000001,6805.591,43458.95,0.000400705,0.000418615375,1.498850370231716e-05,0.000263258625,6.87553465080171e-06
COGWEB,14374.7,71622.7,13693.55,71622.69999999998,3353.939,54088.909999999996,0.000390017,0.000425995375,1.0526378614432168e-05,0.000557486125,1.8515646237962494e-05
BONWIL,553.867,36390.8,576.42966,36390.8,787.7941000000001,37466.08,0.000267871,0.00037217387500000003,4.8187010857277443e-05,0.000414936125,7.454669326408366e-05
AROFET,5360.67,30900.8,5331.529322200001,30830.599999999995,1962.4722191,24480.07,0.000366259,0.000143032875,7.680296160264586e-06,7.37851625e-05,4.955476730077918e-06
GACQAE,15890.5,58666.8,14989.61,58666.80000000001,646.2515000000001,34988.090000000004,0.000250541,0.00025318074999999997,8.669820265582204e-06,0.00040032049999999997,5.9020260006628214e-05
CUNWEO,4972.3,54797.2,4325.58216,54797.2,2951.351829,51299.91000000001,0.000453589,0.000459210375,4.167577473466301e-05,0.000648837375,2.482112811667463e-05
GAXWEJ,2230.01661,43915.3,2073.7669999999994,43915.3,197.6827,40738.12,0.000459776,0.00041239525,1.5871731913609812e-05,1.349260125e-07,3.993914907676544e-08
DAGDIZ,4894.17,51463.4,4876.264499999999,51463.40000000001,5222.112999999999,52084.44,0.000286313,0.00028578025,3.525544523545261e-06,0.000248584625,1.015873557507897e-05
BENXUP,401.911,42847.7,277.82459,42847.7,53.37304,40054.05,1.0829e-10,8.447208875e-09,9.712110525252421e-09,2.4978400975e-12,4.093352151013183e-12
FIPXEJ,1005.03,45109.1,1129.80238,45109.09999999999,1861.396,47425.47,8.40913e-06,0.000221608125,2.2879863141185416e-05,0.0011838303749999999,0.00016085079243194413
AVIMOI,1721.84,29332.8,1689.3939882000002,29332.8,1864.283279,29620.110000000004,0.000302628,0.000288605375,2.2436940304648828e-05,0.000325583625,1.656917883403926e-05
ANUGIA,20690.9,44458.3,20621.08,44458.3,19242.21,42954.469999999994,4.36561e-05,4.3201474999999995e-05,6.770598344127336e-07,4.6324975e-05,1.0135521271128583e-06
GITWIQ,3334.76,48343.8,3350.5199999999995,48343.8,3443.8070000000007,48750.37999999999,0.000655487,0.0006545685,1.592110600743552e-05,0.00064278725,2.2985520092821482e-05
GULPIN,326.972,17867.3,280.5524,17867.299999999996,123.34746999999997,17226.17,4.45683e-06,1.6828396249999998e-05,1.0516359523926206e-05,2.0129972875e-06,2.5153080926376502e-06
GUYLUI,279.141,27637.7,48.42127000000001,27637.7,64.38753,28192.21,1.73714e-06,2.27019731125e-07,5.15441570100239e-07,3.41668023125e-07,7.944614123240235e-07
