MOF,DFT_AV,DFT_vol,Relax_AV,Relax_vol,MCMD_AV,MCMD_vol,NVT_AV,NVT_vol,NPT_AV,NPT_vol,DFT,Relax,MCMD,NVT,NVT_std,NPT,NPT_std
EMITUQ,11485.6798,50234.6,8775.1246,47061.7,8762.467806,47390.3,8607.1273008,47180.4,6805.591,43458.95,4.9979455014,5.0917992488,4.3378404838,4.37721158267,0.027075317518218,3.54263394463,0.032008967280286
COGWEB,15717.1,73129.8,14374.7,71622.7,16245.3,74295,13693.55,71622.7,3353.939,54088.91,5.5257253012,5.8647799389,5.8086434082,1.80082502696,0.064973515843994,1.80339404397,0.074693583705783
BONWIL,325.501,35000.1,553.867,36390.8,325.501,35000.1,576.42966,36390.8,787.7941,37466.08,0,0.0024814851,0,1.12601001776,0.023027070429246,1.23076178137,0.038860566168108
AROFET,5807.35,32505,5360.67,30900.8,16930.4,47836.9,5331.5293222,30830.6,1962.4722191,24480.07,4.5923900183,4.853,9.4276910497,3.65726875137,0.043046899884767,1.19540143508,0.015945602517172
GACQAE,17502.6,60697.1,15890.5,58666.8,27187.9,72710.5,14989.61,58666.8,646.2515,34988.09,6.8724516775,7.065,9.2008805365,6.37054670772,0.01904738107611,7.111549E-05,0.000213083633144
CUNWEO,10489.9,59574.7,4972.3,54797.2,1820.43,48622.5,4325.58216,54797.2,2951.351829,51299.91,2.3460011413,3.2013183248,0.6664556372,2.33537749056,0.038750130208169,1.54781751577,0.006382638844652
GAXWEJ,1875.475,46285.2,2230.01661,43915.3,2469.37,44718.7,2073.767,43915.3,197.6827,40738.12,1.2554601049,1.2554043067,1.2554601049,1.25242670409,0.016854945309164,1.26106452533,0.015169203056193
DAGDIZ,5645.83,50653.5,4894.17,51463.4,5988.6,53062.2,4876.2645,51463.4,5222.113,52084.44,1.8210252246,2.0708005559,2.016164888,1.43843081256,0.028710657216559,1.48898123683,0.035907116948889
BENXUP,1849.97,48176.2,401.911,42847.7,404.836,42258.5,277.82459,42847.7,53.37304,40054.05,0.0064691699,0.0051119655,0.0244673597,0,0,2.3978E-06,7.1934E-06
FIPXEJ,2679.87,48513.2,1005.03,45109.1,3546.68,50293.3,1129.80238,45109.1,1861.396,47425.47,2.3555890871,2.6259596333,2.4244818933,0.6028439649,0.073150481874408,1.79718594549,0.066577998041506
AVIMOI,2888.5,29914,1721.84,29332.8,12521.4,44630,1689.3939882,29332.8,1864.283279,29620.11,2.6780644209,2.90329,7.1667407057,1.84920073477,0.10863640672931,2.21423866257,0.048816772980183
ANUGIA,20489.5,43540.9,20690.9,44458.3,23415.6,47245.1,20621.08,44458.3,19242.21,42954.47,13.9072205298,14.2144052103,15.5455592807,14.28336640732,0.053244796195689,13.26032276687,0.05324640737766
GITWIQ,3603.59,51333.2,3334.76,48343.8,3611.48,49431.7,3350.52,48343.8,3443.807,48750.38,1.9264469884,1.9172950581,1.7948019183,1.73590983673,0.015435019998718,1.77354255734,0.020186791087464
GULPIN,746.856,18154,326.972,17867.3,1262.99,19740.5,280.5524,17867.3,123.34747,17226.17,1.1444673766,1.3066600751,2.1072991611,0.1456646753,0.060402685492102,0.05626495559,0.052354815904384
GUYLUI,1083.62,28911.8,279.141,27637.7,521.644,29207.4,48.42127,27637.7,64.38753,28192.21,1.1369886739,1.2633690025,0.7896056266,1.705548E-05,3.93655297505775E-05,7.896E-08,1.5792E-07
