MOF,DFT_AV,DFT_vol,Relax_AV,Relax_vol,MCMD_AV,MCMD_vol,NVT_AV,NVT_vol,NPT_AV,NPT_vol,DFT,Relax,MCMD,NVT,NVT_std,NPT,NPT_std
EMITUQ,11485.6798,50234.6,8775.124600000001,47061.7,8952.569169,47458.5,8607.127300799999,47180.40000000001,6805.591,43458.95,6.9881723472,6.223242824,6.6734507467,5.8973197826499995,0.06482193177629596,4.9916383476375,0.13328145771924513
COGWEB,15717.1,73129.8,14374.7,71622.7,14571.1,72615.7,13693.55,71622.69999999998,3353.939,54088.909999999996,7.9702073142,7.7699658311,8.214766147,7.562900826725,0.027488247672305073,3.3701578302499997,0.2837825533656283
BONWIL,325.501,35000.1,553.867,36390.8,954.811,38070.6,576.42966,36390.8,787.7941000000001,37466.08,0.4963573439,0.9218857999,1.3294372214,0.9278859769250001,0.0220630113047214,0.8931659006125,0.030820563383293708
AROFET,5807.35,32505.0,5360.67,30900.8,10335.1,38856.7,5331.529322200001,30830.599999999995,1962.4722191,24480.07,7.2782010167,5.6667690636,8.5847992386,5.00860503,0.04306068950787341,1.928602884675,0.11642399696173315
GACQAE,17502.6,60697.1,15890.5,58666.8,26487.9,71895.9,14989.61,58666.80000000001,646.2515000000001,34988.090000000004,10.0132144959,9.7213431931,12.0674802688,9.125757084,0.06429947093874303,0.6278467314375,0.10969385531533558
CUNWEO,10489.9,59574.7,4972.3,54797.2,8274.02,61316.3,4325.58216,54797.2,2951.351829,51299.91000000001,4.8255265124,3.0687114908,5.0874786036,2.9757971027125,0.043625055303662535,2.6231809274125,0.05226467699691329
GAXWEJ,1875.475,46285.2,2230.01661,43915.3,1919.61962,44048.1,2073.7669999999994,43915.3,197.6827,40738.12,2.5203001243,1.5921682527,1.789031812,1.7037585467125,0.0138927780843163,0.2038937239875,0.02739210564202363
DAGDIZ,5645.83,50653.5,4894.17,51463.4,5318.52,52275.6,4876.264499999999,51463.40000000001,5222.112999999999,52084.44,2.6981297285,2.2673912769,2.4429302017,2.2692428731375003,0.013390100609786142,2.3376470081625,0.020826857511316053
BENXUP,1849.97,48176.2,401.911,42847.7,1266.6482999999998,45727.5,277.82459,42847.7,53.37304,40054.05,3.0362515619,0.0033168424,2.3406878315,0.01619753265,0.009280391973026086,6.99828125e-05,0.00011281242606988643
FIPXEJ,2679.87,48513.2,1005.03,45109.1,2501.14,49138.3,1129.80238,45109.09999999999,1861.396,47425.47,3.563460169,2.7899792196,3.4460351592,3.0641971984875003,0.04616066252384728,3.4418546768000002,0.0017409835055119506
AVIMOI,2888.5,29914.0,1721.84,29332.8,8517.92,38445.2,1689.3939882000002,29332.8,1864.283279,29620.110000000004,3.8913493721,3.1612778636,7.3232109725,2.777145755325,0.06326110372490296,3.2340335939,0.14617705483720622
ANUGIA,20489.5,43540.9,20690.9,44458.3,22075.2,45759.2,20621.08,44458.3,19242.21,42954.469999999994,17.3439210003,17.1027672912,17.6760994927,17.138126556025,0.04949463522038032,16.6105191226625,0.17578934684238845
GITWIQ,3603.59,51333.2,3334.76,48343.8,3498.59,48958.7,3350.5199999999995,48343.8,3443.8070000000007,48750.37999999999,2.9045168087,2.6094778141,2.6323351579,2.5893028093500003,0.013702635781419373,2.606387289,0.014738004310093977
GULPIN,746.856,18154.0,326.972,17867.3,1000.761,19004.2,280.5524,17867.299999999996,123.34746999999997,17226.17,2.3768542956,1.53674526,2.931628159,0.95995168755,0.08766660034361394,0.260524962425,0.13666698135075944
GUYLUI,1083.62,28911.8,279.141,27637.7,392.358,29149.9,48.42127000000001,27637.7,64.38753,28192.21,2.3804190749,0.9947251232,1.1973869974,0.0179798748375,0.016827678830045274,0.0296620507125,0.023778809450087587
