MOF,DFT_AV,DFT_vol,Relax_AV,Relax_vol,MCMD_AV,MCMD_vol,NVT_AV,NVT_vol,NPT_AV,NPT_vol,DFT,Relax,MCMD,NVT,NVT_std,NPT,NPT_std
EMITUQ,11485.6798,50234.6,8775.124600000001,47061.7,8440.18,47004.8,8607.127300799999,47180.40000000001,6805.591,43458.95,3.3937917061,3.3848030911,3.2175390149,3.103775107875,0.02649617553419478,2.748010889525,0.03225928570372271
COGWEB,15717.1,73129.8,14374.7,71622.7,13213.5,71695.4,13693.55,71622.69999999998,3353.939,54088.909999999996,4.3535494072,4.1865140358,4.1390764159,4.0439092123875,0.033053298549722575,2.0926117632375005,0.062188244912862504
BONWIL,325.501,35000.1,553.867,36390.8,538.9870000000001,36516.7,576.42966,36390.8,787.7941000000001,37466.08,0.1852827985,0.7145272285,0.2541603002,0.7017627932,0.013811844428160329,0.6713157879375,0.029814292400748586
AROFET,5807.35,32505.0,5360.67,30900.8,6882.6,33844.4,5331.529322200001,30830.599999999995,1962.4722191,24480.07,3.8014819701,2.977708208,2.4259319914,2.29546022745,0.03920680111630976,0.9534111232125,0.033340174524791634
GACQAE,17502.6,60697.1,15890.5,58666.8,22811.7,67896.1,14989.61,58666.80000000001,646.2515000000001,34988.090000000004,3.871138657,3.94291945,3.3264116516,3.69374521315,0.026569180780110384,0.6642269833875001,0.0803370077465622
CUNWEO,10489.9,59574.7,4972.3,54797.2,3240.08,52041.0,4325.58216,54797.2,2951.351829,51299.91000000001,2.5973754534,1.9913757336,2.0386138778,1.8505689546250002,0.02809706345687832,1.70833282155,0.03878802558601561
GAXWEJ,1875.475,46285.2,2230.01661,43915.3,179.697,40472.3,2073.7669999999994,43915.3,197.6827,40738.12,2.0031498354,1.2224597653,0.1475881701,1.2869212191625,0.011939297751141184,0.1766167895625,0.011881047677979607
DAGDIZ,5645.83,50653.5,4894.17,51463.4,5187.21,52080.5,4876.264499999999,51463.40000000001,5222.112999999999,52084.44,1.5752494369,1.329374217,1.3435265861,1.3321582747,0.006213117102169124,1.335169270425,0.0034684578639526792
BENXUP,1849.97,48176.2,401.911,42847.7,53.4307,39873.6,277.82459,42847.7,53.37304,40054.05,1.6849420377,0.1369436271,0.0008482834,0.051129688812500004,0.00708171656141049,0.001810805125,0.0006561979351956404
FIPXEJ,2679.87,48513.2,1005.03,45109.1,2099.82,47831.9,1129.80238,45109.09999999999,1861.396,47425.47,3.0709720944,1.2115278567,2.8925213838,2.044601256475,0.05886589420740344,2.8285601010875,0.024185437999351838
AVIMOI,2888.5,29914.0,1721.84,29332.8,1529.54,29078.8,1689.3939882000002,29332.8,1864.283279,29620.110000000004,2.7057300225,1.6624650733,1.5709785679,1.608854395825,0.058500148242524946,1.9527483486249997,0.06159459028653888
ANUGIA,20489.5,43540.9,20690.9,44458.3,19172.6,42676.0,20621.08,44458.3,19242.21,42954.469999999994,3.9961584408,3.5740589378,3.6717903106,3.6116420054000002,0.011352223202255712,3.6354593094625,0.017501061038018673
GITWIQ,3603.59,51333.2,3334.76,48343.8,3430.82,48622.7,3350.5199999999995,48343.8,3443.8070000000007,48750.37999999999,1.854412649,1.6860829178,1.6927406125,1.6785837289124999,0.008071454571971424,1.6915420935999999,0.010644502987958498
GULPIN,746.856,18154.0,326.972,17867.3,703.129,18621.0,280.5524,17867.299999999996,123.34746999999997,17226.17,1.5630875727,0.7071316816,1.6924728549,0.549074831475,0.04606754816512182,0.2348456262875,0.06659864489600863
GUYLUI,1083.62,28911.8,279.141,27637.7,78.3383,28179.3,48.42127000000001,27637.7,64.38753,28192.21,1.5669640024,0.4743926366,0.045075191,0.018111547800000002,0.010970187659215048,0.032845200325000004,0.019803081432398246
