MOF,DFT_AV,DFT_vol,Relax_AV,Relax_vol,MCMD_AV,MCMD_vol,NVT_AV,NVT_vol,NPT_AV,NPT_vol,DFT,Relax,MCMD,NVT,NVT_std,NPT,NPT_std
EMITUQ,11485.6798,50234.6,8775.124600000001,47061.7,,,8607.127300799999,47180.40000000001,6805.591,43458.95,,5.1142300359,,4.7211544217125,0.03743820523397884,4.153696507975001,0.057773353319383824
COGWEB,15717.1,73129.8,14374.7,71622.7,,,13693.55,71622.69999999998,3353.939,54088.909999999996,,6.3702624998,,6.1793896154875,0.03767251685086464,3.2042619273125004,0.14642658219977703
BONWIL,325.501,35000.1,553.867,36390.8,,,576.42966,36390.8,787.7941000000001,37466.08,,0.9092037806,,0.8987855487375,0.028486590987276475,0.882420423925,0.03525819171681184
AROFET,5807.35,32505.0,5360.67,30900.8,,,5331.529322200001,30830.599999999995,1962.4722191,24480.07,,4.5100574082,,3.87189691165,0.03795634838310657,1.4826094634875,0.09527393447850988
GACQAE,17502.6,60697.1,15890.5,58666.8,,,14989.61,58666.80000000001,646.2515000000001,34988.090000000004,,6.7120402471,,6.2656865840125,0.044244058847531055,1.0728321028,0.12374405173835798
CUNWEO,10489.9,59574.7,4972.3,54797.2,,,4325.58216,54797.2,2951.351829,51299.91000000001,,2.6126747611,,2.6408850744625,0.02890546608145675,2.3929269208250004,0.05013290186495384
GAXWEJ,1875.475,46285.2,2230.01661,43915.3,,,2073.7669999999994,43915.3,197.6827,40738.12,,1.6113644404,,1.7403416958625,0.016996906552704742,0.35301444453749997,0.02309640641929543
DAGDIZ,5645.83,50653.5,4894.17,51463.4,,,4876.264499999999,51463.40000000001,5222.112999999999,52084.44,,1.9103547594,,1.9080540193000002,0.012561845885050266,1.9278975127,0.007762903175899538
BENXUP,1849.97,48176.2,401.911,42847.7,,,277.82459,42847.7,53.37304,40054.05,,0.288371248,,0.09798400325,0.02266698716847154,0.001498298825,0.0012247385860124078
FIPXEJ,2679.87,48513.2,1005.03,45109.1,,,1129.80238,45109.09999999999,1861.396,47425.47,,2.2040479371,,2.8333850337625,0.0507013003299714,3.3050567568625,0.005055899786715759
AVIMOI,2888.5,29914.0,1721.84,29332.8,,,1689.3939882000002,29332.8,1864.283279,29620.110000000004,,2.8339620908,,2.3712804752125,0.061021644252834815,2.8280411287750002,0.12212734026866393
ANUGIA,20489.5,43540.9,20690.9,44458.3,,,20621.08,44458.3,19242.21,42954.469999999994,7.1208648722,6.3287399944,6.5389447129,6.391848581825,0.02908385549435658,6.5239616339,0.025609061995748084
GITWIQ,3603.59,51333.2,3334.76,48343.8,,,3350.5199999999995,48343.8,3443.8070000000007,48750.37999999999,2.6118843502,2.3262763521,2.3527912077,2.3175709269125,0.010174470109097932,2.337442119475,0.014359179415305023
GULPIN,746.856,18154.0,326.972,17867.3,,,280.5524,17867.299999999996,123.34746999999997,17226.17,2.1884595138,1.2650863368,2.4199809102,0.9161807909499999,0.0797709442103175,0.41567464093750006,0.10119811701748407
GUYLUI,1083.62,28911.8,279.141,27637.7,,,48.42127000000001,27637.7,64.38753,28192.21,2.1545006352,0.8391769034,0.2786504039,0.0249169872625,0.014347311713299088,0.034314873975,0.01677152641969876
