MOF,DFT_AV,DFT_vol,Relax_AV,Relax_vol,MCMD_AV,MCMD_vol,NVT_AV,NVT_vol,NPT_AV,NPT_vol,DFT,Relax,MCMD,NVT,NVT_std,NPT,NPT_std
EMITUQ,11485.6798,50234.6,8775.124600000001,47061.7,8980.449040000001,47325.3,8607.127300799999,47180.40000000001,6805.591,43458.95,6.091871723,5.5568248959,5.5625500055,5.0688160038,0.031103572096192196,4.2590915538875,0.08046248213869618
COGWEB,15717.1,73129.8,14374.7,71622.7,16095.9,74394.0,13693.55,71622.69999999998,3353.939,54088.909999999996,6.7354037188,6.5181641493,6.9721578875,6.4158097362125,0.025154626156283735,2.257535908675,0.12937424595162542
BONWIL,325.501,35000.1,553.867,36390.8,1178.68,38468.8,576.42966,36390.8,787.7941000000001,37466.08,0.0556932783,0.8805553416,1.2343349663,0.854624955825,0.01954285135906641,0.7667422781125,0.05439772132442713
AROFET,5807.35,32505.0,5360.67,30900.8,16174.9,47217.7,5331.529322200001,30830.599999999995,1962.4722191,24480.07,5.4965248424,4.4821980155,11.136964645,4.333989484587501,0.04705559701737484,1.5094721096750001,0.13050217721784857
GACQAE,17502.6,60697.1,15890.5,58666.8,26609.6,72351.9,14989.61,58666.80000000001,646.2515000000001,34988.090000000004,8.6633083146,8.1260863784,10.9958024488,7.725177170237501,0.035460900514466785,1.352224899725,0.10681808944984603
CUNWEO,10489.9,59574.7,4972.3,54797.2,24317.6,85420.9,4325.58216,54797.2,2951.351829,51299.91000000001,4.1197135175,2.9902563822,7.2150680532,2.4407128151375,0.053014444547667954,1.7702933202625,0.07307246829983828
GAXWEJ,1875.475,46285.2,2230.01661,43915.3,2159.47,44396.9,2073.7669999999994,43915.3,197.6827,40738.12,2.4621902234,1.2929136776,1.54929938,1.467828367,0.00705312512403134,1.13345375e-05,1.4403381609880498e-05
DAGDIZ,5645.83,50653.5,4894.17,51463.4,5756.93,52757.7,4876.264499999999,51463.40000000001,5222.112999999999,52084.44,2.5667345425,1.8172555381,2.5810844014,1.869665710325,0.011530444457549006,1.9955731797625,0.04588355488016089
BENXUP,1849.97,48176.2,401.911,42847.7,2342.2599,47859.9,277.82459,42847.7,53.37304,40054.05,2.9162834483,0.0,2.7911940716,0.000603326425,0.0015902486015274165,0.0,0.0
FIPXEJ,2679.87,48513.2,1005.03,45109.1,3044.91,50229.5,1129.80238,45109.09999999999,1861.396,47425.47,3.2501570503,0.2338875885,3.4443411623,1.546139282475,0.10521130413201397,3.14147276735,0.0657474740670866
AVIMOI,2888.5,29914.0,1721.84,29332.8,12462.0,44689.0,1689.3939882000002,29332.8,1864.283279,29620.110000000004,3.0023703054,2.2773597907,8.9055787043,2.18130456895,0.10465503303697744,2.6350835829,0.10597268108594882
ANUGIA,20489.5,43540.9,20690.9,44458.3,22696.2,46356.7,20621.08,44458.3,19242.21,42954.469999999994,16.5090428187,16.7678548279,16.5090428187,16.7634124693375,0.054711523951333316,15.8391548415125,0.2500848271246589
GITWIQ,3603.59,51333.2,3334.76,48343.8,3505.71,49127.1,3350.5199999999995,48343.8,3443.8070000000007,48750.37999999999,2.2854753329,2.0929541718,2.142496262,2.089498499925,0.010110538847371474,2.11108233645,0.019225622732018166
GULPIN,746.856,18154.0,326.972,17867.3,1285.48,19764.5,280.5524,17867.299999999996,123.34746999999997,17226.17,2.0774621856,0.5002816455,2.8082414462,0.4124008013125,0.0856232878650702,0.04019692455,0.04339380482333184
GUYLUI,1083.62,28911.8,279.141,27637.7,626.516,29552.7,48.42127000000001,27637.7,64.38753,28192.21,1.257324454,0.0401987507,1.1838051379,0.0037774546625,0.009630737933582012,0.00814926375,0.01374014208345405
