MOF,DFT_AV,DFT_vol,Relax_AV,Relax_vol,MCMD_AV,MCMD_vol,NVT_AV,NVT_vol,NPT_AV,NPT_vol,DFT,Relax,MCMD,NVT,NVT_std,NPT,NPT_std
EMITUQ,11485.6798,50234.6,8775.124600000001,47061.7,8911.028789999998,47469.8,8607.127300799999,47180.40000000001,6805.591,43458.95,6.3567101226,5.6532001624,5.8560368065,5.3415700245,0.026503286834378893,4.46433523215,0.11391052306553358
COGWEB,15717.1,73129.8,14374.7,71622.7,15805.4,73459.0,13693.55,71622.69999999998,3353.939,54088.909999999996,7.0608230905,6.9259970153,7.4192999163,6.7153317643875,0.03278499549270194,2.4141817674375,0.15269564796328994
BONWIL,325.501,35000.1,553.867,36390.8,1282.705,38822.7,576.42966,36390.8,787.7941000000001,37466.08,0.4273412706,0.8995423737,1.6078003242,0.88103222985,0.021818661528486598,0.8033882260625,0.041409815994390725
AROFET,5807.35,32505.0,5360.67,30900.8,15919.2,46793.6,5331.529322200001,30830.599999999995,1962.4722191,24480.07,5.8701665353,4.7717748767,11.0188788527,4.5182151800375,0.049886061448600076,1.605769147025,0.13014748311841806
GACQAE,17502.6,60697.1,15890.5,58666.8,26361.1,72016.9,14989.61,58666.80000000001,646.2515000000001,34988.090000000004,9.0952401834,8.4107870064,11.3362930792,8.0876128972125,0.046804492110114115,1.4934964077625001,0.09726538600515662
CUNWEO,10489.9,59574.7,4972.3,54797.2,22031.2,82538.4,4325.58216,54797.2,2951.351829,51299.91000000001,4.408796078,3.0266996279,7.0557617248,2.609257119775,0.0483814603502898,1.9387732196874998,0.07333376726213045
GAXWEJ,1875.475,46285.2,2230.01661,43915.3,2250.3,44560.5,2073.7669999999994,43915.3,197.6827,40738.12,2.4955508208,1.4636630956,1.6147200112,1.54022217235,0.016461093576302124,0.000380753575,0.000457917136841306
DAGDIZ,5645.83,50653.5,4894.17,51463.4,5718.28,52664.2,4876.264499999999,51463.40000000001,5222.112999999999,52084.44,2.5831751323,1.9429390878,2.5713121731,1.991410586175,0.018043113814654736,2.1365766055625,0.048358035622392395
BENXUP,1849.97,48176.2,401.911,42847.7,2197.038,47452.3,277.82459,42847.7,53.37304,40054.05,3.0319947307,0.0,2.8821071955,0.001614406675,0.0040669293990193795,0.0,0.0
FIPXEJ,2679.87,48513.2,1005.03,45109.1,2838.56,49573.1,1129.80238,45109.09999999999,1861.396,47425.47,3.4349286894,1.0472796453,3.4463558857,1.90308034025,0.06130683416847155,3.3227692406000005,0.031478438201204655
AVIMOI,2888.5,29914.0,1721.84,29332.8,12344.1,44489.6,1689.3939882000002,29332.8,1864.283279,29620.110000000004,3.2302128845,2.9736874791,9.1062244715,2.3800443348625,0.07824815733657506,2.81325101025,0.11626490959401127
ANUGIA,20489.5,43540.9,20690.9,44458.3,22696.9,46341.1,20621.08,44458.3,19242.21,42954.469999999994,17.201563213,17.375130107,17.201563213,17.3889224498,0.0237462360620474,16.4401710785625,0.2578778059155449
GITWIQ,3603.59,51333.2,3334.76,48343.8,3530.03,49041.8,3350.5199999999995,48343.8,3443.8070000000007,48750.37999999999,2.4695874335,2.183188482,2.2889245286,2.1832056977625003,0.011147585614349191,2.228066721275,0.01937416564252962
GULPIN,746.856,18154.0,326.972,17867.3,1240.93,19873.9,280.5524,17867.299999999996,123.34746999999997,17226.17,2.1580064408,0.8857318817,2.9096630889,0.5965022959874999,0.08515946401832815,0.071657378625,0.05429100543154473
GUYLUI,1083.62,28911.8,279.141,27637.7,1083.62,28911.8,48.42127000000001,27637.7,64.38753,28192.21,,0.8494300228,,0.0070170144,0.012893163441322245,0.005439949287500001,0.008772642392946261
