MOF,DFT_AV,DFT_vol,Relax_AV,Relax_vol,MCMD_AV,MCMD_vol,NVT_AV,NVT_vol,NPT_AV,NPT_vol,DFT,Relax,MCMD,NVT,NVT_std,NPT,NPT_std
EMITUQ,11485.6798,50234.6,8775.124600000001,47061.7,8658.17,47286.6,8607.127300799999,47180.40000000001,6805.591,43458.95,6.1127370692,5.7087238893,5.509043078,5.2113773659875005,0.03597861027967726,4.4716490227375,0.11176473702127755
COGWEB,15717.1,73129.8,14374.7,71622.7,14720.0,72612.6,13693.55,71622.69999999998,3353.939,54088.909999999996,7.1873399493,6.9495214259,7.1260050924,6.786571606075,0.03800001202774887,3.2021283704999997,0.18753062505171658
BONWIL,325.501,35000.1,553.867,36390.8,670.048,37019.3,576.42966,36390.8,787.7941000000001,37466.08,0.0707608809,0.8861902137,0.5672974858,0.9085975238499999,0.0211228806856291,0.8318119331875,0.03735288036150649
AROFET,5807.35,32505.0,5360.67,30900.8,10099.9,38347.1,5331.529322200001,30830.599999999995,1962.4722191,24480.07,6.6186232504,5.0948269967,6.7045106573,4.334696195025,0.045598381569065385,1.63548040465,0.11013551250505134
GACQAE,17502.6,60697.1,15890.5,58666.8,25039.1,70767.9,14989.61,58666.80000000001,646.2515000000001,34988.090000000004,8.4637191406,8.3627508291,8.2350658677,7.6866442770625,0.05745613468624255,1.7112935102125,0.049459928499599536
CUNWEO,10489.9,59574.7,4972.3,54797.2,7425.91,58777.2,4325.58216,54797.2,2951.351829,51299.91000000001,4.3048536374,2.7019426929,4.1901957303,2.771765545025,0.038976257919427465,2.5399125206,0.06413001570547947
GAXWEJ,1875.475,46285.2,2230.01661,43915.3,262.499,41144.0,2073.7669999999994,43915.3,197.6827,40738.12,2.4100874666,1.4887227894,0.4631896836,1.6701993673375002,0.014438171940821051,0.2605902871125,0.029066024875440136
DAGDIZ,5645.83,50653.5,4894.17,51463.4,5185.56,52032.5,4876.264499999999,51463.40000000001,5222.112999999999,52084.44,2.4949799278,1.9850771177,2.1262281519,2.047346252675,0.014236147967386793,2.0759436393875,0.014597640197469845
BENXUP,1849.97,48176.2,401.911,42847.7,63.6082,40258.4,277.82459,42847.7,53.37304,40054.05,2.8561478162,0.0434600566,3.22969e-05,0.033182586025,0.010781518975713868,7.986236249999999e-05,9.89222843408013e-05
FIPXEJ,2679.87,48513.2,1005.03,45109.1,2049.56,47886.9,1129.80238,45109.09999999999,1861.396,47425.47,3.5750311393,1.8703254115,3.425040117,2.85809524965,0.06383345611076714,3.4143690464375,0.003279008769382465
AVIMOI,2888.5,29914.0,1721.84,29332.8,8884.11,39061.4,1689.3939882000002,29332.8,1864.283279,29620.110000000004,3.6439633014,2.8335801271,6.1555237663,2.4108352519125003,0.06113639224216197,2.8721113533000002,0.12555664136897815
ANUGIA,20489.5,43540.9,20690.9,44458.3,20984.6,44600.6,20621.08,44458.3,19242.21,42954.469999999994,10.7377796463,9.7911011177,10.1299566097,9.916356190025,0.0484401673262643,10.0190240043,0.020762065348718897
GITWIQ,3603.59,51333.2,3334.76,48343.8,3536.86,48932.8,3350.5199999999995,48343.8,3443.8070000000007,48750.37999999999,2.7755644239,2.4635289983,2.5180991688,2.46351269995,0.01022513358573398,2.4865984358625,0.014843822273037606
GULPIN,746.856,18154.0,326.972,17867.3,1083.6378,20008.0,280.5524,17867.299999999996,123.34746999999997,17226.17,2.0656703467,1.06108263,3.0312741598,0.7697924806625001,0.05748719543749697,0.2992750142125,0.11099669383683225
GUYLUI,1083.62,28911.8,279.141,27637.7,241.124,28842.6,48.42127000000001,27637.7,64.38753,28192.21,2.0639917554,0.6578124903,0.4799868624,0.012653338012500001,0.012702573767603894,0.026495532925,0.021032026851010945
