MOF,Relax_AV,Relax_vol,NVT_AV,NVT_vol,NPT_AV,NPT_vol,Relax,NVT,NVT_std,NPT,NPT_std
EMITUQ,8775.124600000001,47061.7,8607.127300799999,47180.40000000001,6805.591,43458.95,7.16607e-06,6.70749375e-06,1.0761351378166925e-07,5.4850062500000004e-06,6.943393333549185e-08
COGWEB,14374.7,71622.7,13693.55,71622.69999999998,3353.939,54088.909999999996,8.2149e-06,8.204708749999998e-06,1.0995863795508511e-07,6.2599412499999995e-06,2.202982321621069e-08
BONWIL,553.867,36390.8,576.42966,36390.8,787.7941000000001,37466.08,3.4653e-06,3.2041425e-06,8.013932005420312e-08,3.03285875e-06,1.51089930789373e-07
AROFET,5360.67,30900.8,5331.529322200001,30830.599999999995,1962.4722191,24480.07,6.44668e-06,3.957262499999999e-06,1.0085924359596399e-07,1.9054587499999999e-06,4.1614774551083454e-08
GACQAE,15890.5,58666.8,14989.61,58666.80000000001,646.2515000000001,34988.090000000004,6.56958e-06,6.225075e-06,8.511364858235127e-08,1.5998587500000002e-06,2.323636783921651e-07
CUNWEO,4972.3,54797.2,4325.58216,54797.2,2951.351829,51299.91000000001,5.52751e-06,5.3484962499999994e-06,1.1895920224361596e-07,5.9011925e-06,1.7170571152046747e-07
GAXWEJ,2230.01661,43915.3,2073.7669999999994,43915.3,197.6827,40738.12,4.63994e-06,4.6430225e-06,8.80469144476399e-08,2.2492487500000003e-07,1.872100603224557e-08
DAGDIZ,4894.17,51463.4,4876.264499999999,51463.40000000001,5222.112999999999,52084.44,3.75731e-06,3.74152625e-06,2.8502334087535693e-08,3.5560350000000003e-06,3.129960542882292e-08
BENXUP,401.911,42847.7,277.82459,42847.7,53.37304,40054.05,1.46533e-07,6.02581125e-08,1.0235990835336545e-08,1.8074475e-09,6.136487951538323e-10
FIPXEJ,1005.03,45109.1,1129.80238,45109.09999999999,1861.396,47425.47,1.80595e-06,5.9891424999999996e-06,2.649313552955746e-07,1.27947375e-05,6.053881274387121e-07
AVIMOI,1721.84,29332.8,1689.3939882000002,29332.8,1864.283279,29620.110000000004,4.32637e-06,4.1380662499999996e-06,1.931955489871272e-07,4.9387225000000006e-06,2.076017562997724e-07
ANUGIA,20690.9,44458.3,20621.08,44458.3,19242.21,42954.469999999994,4.15529e-06,4.16894e-06,1.725718545997582e-08,4.23606875e-06,2.8878685235610905e-08
GITWIQ,3334.76,48343.8,3350.5199999999995,48343.8,3443.8070000000007,48750.37999999999,5.48689e-06,5.47709875e-06,6.17598831033341e-08,5.413686249999999e-06,6.496921596754496e-08
GULPIN,326.972,17867.3,280.5524,17867.299999999996,123.34746999999997,17226.17,1.05224e-06,1.0372246249999999e-06,1.3786966717604848e-07,4.04941125e-07,1.497927041526368e-07
GUYLUI,279.141,27637.7,48.42127000000001,27637.7,64.38753,28192.21,6.793e-07,2.894956625e-08,2.7161689698505934e-08,5.57504e-08,4.683686178868627e-08
