MOF,Relax_AV,Relax_vol,NVT_AV,NVT_vol,NPT_AV,NPT_vol,Relax,NVT,NVT_std,NPT,NPT_std
EMITUQ,8775.124600000001,47061.7,8607.127300799999,47180.40000000001,6805.591,43458.95,0.00906706,0.00997047,0.0006816934886186019,0.005140813750000001,0.0002285631764927096
COGWEB,14374.7,71622.7,13693.55,71622.69999999998,3353.939,54088.909999999996,0.0088413,0.010315177500000001,0.0002338326603444226,0.01774465,0.001642847502813332
BONWIL,553.867,36390.8,576.42966,36390.8,787.7941000000001,37466.08,0.0055585,0.0035125950000000003,0.0009332240557068811,0.01187704,0.004162077537312346
AROFET,5360.67,30900.8,5331.529322200001,30830.599999999995,1962.4722191,24480.07,0.00838968,0.0033924225,0.00030331733571253383,0.001661825,0.00019336394551466927
GACQAE,15890.5,58666.8,14989.61,58666.80000000001,646.2515000000001,34988.090000000004,0.00303811,0.003873235,0.00030168082090182663,0.00214935,0.0016653574140406018
CUNWEO,4972.3,54797.2,4325.58216,54797.2,2951.351829,51299.91000000001,0.0129408,0.0127537625,0.0016089283234015583,0.020559724999999997,0.0014278152338012785
GAXWEJ,2230.01661,43915.3,2073.7669999999994,43915.3,197.6827,40738.12,0.0127017,0.009805043749999999,0.0007463830472340845,1.8962095125e-11,2.4494690216807118e-11
DAGDIZ,4894.17,51463.4,4876.264499999999,51463.40000000001,5222.112999999999,52084.44,0.00954493,0.00953824625,0.0001812195553698261,0.0079708475,0.00044173953130634573
BENXUP,401.911,42847.7,277.82459,42847.7,53.37304,40054.05,2.15617e-18,6.299004436050001e-10,1.660472987236662e-09,1.8123368717125e-17,4.2835965499528273e-17
FIPXEJ,1005.03,45109.1,1129.80238,45109.09999999999,1861.396,47425.47,3.35682e-07,0.000421096625,0.00015452942192988484,0.0051654462500000005,0.0013467623217919475
AVIMOI,1721.84,29332.8,1689.3939882000002,29332.8,1864.283279,29620.110000000004,0.00662994,0.00643332875,0.0008602392956241521,0.0066846225,0.0008329671382286039
ANUGIA,20690.9,44458.3,20621.08,44458.3,19242.21,42954.469999999994,0.000308643,0.00029184462500000003,9.269915802442599e-06,0.00034007825000000004,1.8088440858390765e-05
GITWIQ,3334.76,48343.8,3350.5199999999995,48343.8,3443.8070000000007,48750.37999999999,0.017352,0.017915100000000003,0.0007491366931341702,0.017663162500000003,0.001257917241850095
GULPIN,326.972,17867.3,280.5524,17867.299999999996,123.34746999999997,17226.17,2.65759e-06,1.722195625e-05,1.0824523709367006e-05,2.07975789557875e-06,4.404776218745946e-06
GUYLUI,279.141,27637.7,48.42127000000001,27637.7,64.38753,28192.21,5.53593e-08,1.9122491109557238e-08,5.02581982846307e-08,8.867164042665284e-07,2.321646603139482e-06
