MOF,Relax_AV,Relax_vol,NVT_AV,NVT_vol,NPT_AV,NPT_vol,Relax,NVT,NVT_std,NPT,NPT_std
EMITUQ,8775.124600000001,47061.7,8607.127300799999,47180.40000000001,6805.591,43458.95,0.00312227,0.00327424375,0.00017316113903944352,0.00184523375,8.162509554933157e-05
COGWEB,14374.7,71622.7,13693.55,71622.69999999998,3353.939,54088.909999999996,0.00301875,0.00346316875,8.105121181041963e-05,0.00558478125,0.000517636639604402
BONWIL,553.867,36390.8,576.42966,36390.8,787.7941000000001,37466.08,0.00260748,0.0019004450000000002,0.00034852540703656014,0.00412510125,0.0010997829959978186
AROFET,5360.67,30900.8,5331.529322200001,30830.599999999995,1962.4722191,24480.07,0.00296907,0.0012794087500000001,9.942982543451188e-05,0.0005630737499999999,2.649629449446657e-05
GACQAE,15890.5,58666.8,14989.61,58666.80000000001,646.2515000000001,34988.090000000004,0.00142653,0.00160089125,8.61016874743898e-05,0.0011509049999999998,0.0005436485614648032
CUNWEO,4972.3,54797.2,4325.58216,54797.2,2951.351829,51299.91000000001,0.00411646,0.00423326625,0.000454323545943238,0.0068506775,0.0003235829468911332
GAXWEJ,2230.01661,43915.3,2073.7669999999994,43915.3,197.6827,40738.12,0.00458917,0.003908423750000001,0.00021847693573564573,4.38309675e-10,5.015049991142231e-10
DAGDIZ,4894.17,51463.4,4876.264499999999,51463.40000000001,5222.112999999999,52084.44,0.00265211,0.002649425,4.147680014176606e-05,0.0022440887500000005,0.0001151879095692665
BENXUP,401.911,42847.7,277.82459,42847.7,53.37304,40054.05,7.09262e-15,4.2543695375e-09,1.1053661686973352e-08,2.5832030926e-14,6.699104807961727e-14
FIPXEJ,1005.03,45109.1,1129.80238,45109.09999999999,1861.396,47425.47,2.66347e-06,0.00046803675,0.00013481876620184411,0.00339753375,0.0006543152352256802
AVIMOI,1721.84,29332.8,1689.3939882000002,29332.8,1864.283279,29620.110000000004,0.00174415,0.0022203762500000003,0.00025091514222628635,0.00253728375,0.00018696014307450007
ANUGIA,20690.9,44458.3,20621.08,44458.3,19242.21,42954.469999999994,0.000159914,0.000153477125,3.874876141165674e-06,0.00017541,7.664925766111504e-06
GITWIQ,3334.76,48343.8,3350.5199999999995,48343.8,3443.8070000000007,48750.37999999999,0.00579396,0.0058949125,0.00019993783582341278,0.005718213749999999,0.000280942982602231
GULPIN,326.972,17867.3,280.5524,17867.299999999996,123.34746999999997,17226.17,9.7664e-06,2.5878512499999997e-05,1.381242655405247e-05,1.994954066e-06,3.7355298266514904e-06
GUYLUI,279.141,27637.7,48.42127000000001,27637.7,64.38753,28192.21,1.25535e-06,8.943982768613875e-08,2.229153319716227e-07,1.7814752578125e-08,3.2872937419180276e-08
