MOF,Relax_AV,Relax_vol,NVT_AV,NVT_vol,NPT_AV,NPT_vol,Relax,NVT,NVT_std,NPT,NPT_std
EMITUQ,8775.124600000001,47061.7,8607.127300799999,47180.40000000001,6805.591,43458.95,4.82027e-05,4.6127187500000004e-05,1.0201566551729935e-06,3.39781125e-05,5.331065288417969e-07
COGWEB,14374.7,71622.7,13693.55,71622.69999999998,3353.939,54088.909999999996,5.06439e-05,5.1916774999999996e-05,9.933466763295682e-07,5.74822875e-05,1.337772089555524e-06
BONWIL,553.867,36390.8,576.42966,36390.8,787.7941000000001,37466.08,3.39215e-05,4.0394049999999997e-05,3.57905636655809e-06,3.68606375e-05,2.5369624942721857e-06
AROFET,5360.67,30900.8,5331.529322200001,30830.599999999995,1962.4722191,24480.07,4.39036e-05,2.2360562499999998e-05,8.110831614845364e-07,1.14549125e-05,3.0661599533251687e-07
GACQAE,15890.5,58666.8,14989.61,58666.80000000001,646.2515000000001,34988.090000000004,3.78242e-05,3.60973375e-05,7.9675512382648e-07,6.181425e-05,4.624943631818665e-06
CUNWEO,4972.3,54797.2,4325.58216,54797.2,2951.351829,51299.91000000001,4.39679e-05,4.38261625e-05,2.1496640510423373e-06,5.75500125e-05,1.7435877074565966e-06
GAXWEJ,2230.01661,43915.3,2073.7669999999994,43915.3,197.6827,40738.12,3.86522e-05,4.109975e-05,1.0814618254936225e-06,5.108780000000001e-07,8.584860376267048e-08
DAGDIZ,4894.17,51463.4,4876.264499999999,51463.40000000001,5222.112999999999,52084.44,3.15885e-05,3.13198875e-05,3.0778539779162694e-07,2.8369825e-05,7.994419909380541e-07
BENXUP,401.911,42847.7,277.82459,42847.7,53.37304,40054.05,4.44624e-08,5.6755162499999995e-08,4.109904460181944e-08,8.1037741625e-11,8.353483426636634e-11
FIPXEJ,1005.03,45109.1,1129.80238,45109.09999999999,1861.396,47425.47,4.59378e-06,5.3979125e-05,4.288593516162963e-06,0.0001835125,1.440842823662595e-05
AVIMOI,1721.84,29332.8,1689.3939882000002,29332.8,1864.283279,29620.110000000004,2.73489e-05,2.9858825e-05,1.413572773816402e-06,3.46826625e-05,1.614922248854028e-06
ANUGIA,20690.9,44458.3,20621.08,44458.3,19242.21,42954.469999999994,1.21905e-05,1.2212325e-05,9.773933125922213e-08,1.29505e-05,2.163053917497204e-07
GITWIQ,3334.76,48343.8,3350.5199999999995,48343.8,3443.8070000000007,48750.37999999999,5.76074e-05,5.71581625e-05,9.851075460799959e-07,5.5780925e-05,9.86073359023049e-07
GULPIN,326.972,17867.3,280.5524,17867.299999999996,123.34746999999997,17226.17,2.37269e-06,4.5739124999999996e-06,1.235765021411332e-06,1.5874925e-06,9.551159565236045e-07
GUYLUI,279.141,27637.7,48.42127000000001,27637.7,64.38753,28192.21,9.50946e-07,5.0946397625e-08,9.624396069027292e-08,1.059554325e-07,1.4414326790980527e-07
