MOF,Eform,Efermi,K,G
ABUWOJ,-0.72481763,-2.2440145,32.7002029046146,13.7363926321626
ACOLIP,-0.32574585,-1.6433337,21.6525743553532,10.9627375904901
AFITIT,-0.27385136,-1.3556793,19.8776807925315,12.051112761993
AGARUW,-1.3077809,-0.84456563,27.2254475707011,28.8095551541869
AHOKIR01,-0.9956769,-0.14697456,32.827611527746,21.56491469634
AMIKOX,-0.17152637,-1.2263539,15.4990384677829,7.27969389821969
AMILUE,-0.4306094,-1.3544729,19.7788478972549,14.2443975152194
AMIMEP,-0.43203962,-1.3492453,19.3281705091533,13.9440724104435
AMUCOB,-1.1419475,0.12418032,31.0259584376194,17.2268619677981
ANUGIA,-0.37042052,-2.7078912,39.2957488656379,15.0093717574363
APEBED,-0.7480586,-1.3748081,25.3580883916463,10.7069689444586
AROFET,-0.47698176,-2.1604865,25.6668497390914,11.556343294188
ATOXEN,-0.4371673,-1.2346528,18.7620231244432,13.6006213627295
AVAQIX,-0.4416129,-2.4111927,29.558337142923,12.0727327473923
AVEMOE,-0.19694403,0.162323,17.1172910339718,9.75621620281184
AVIMOI,-0.46830493,-0.5057552,19.2507771256245,12.3911641736155
AZIXUD,-0.6930714,-2.5423777,31.2536985307058,14.8000861734217
BAEDTA01,-1.040103,0.23198509,19.5974682398795,15.4651261184167
BALMUW,-2.2490578,0.21124578,27.250351851668,15.0448035864325
BALMUW01,-2.240314,0.16898417,27.0959190295807,14.2316841636437
BARZAW,-0.3838101,-0.3811338,18.9680378891443,10.4845638829357
BENXUP,-0.519225,-1.2483127,23.8320555684096,13.8740257602167
BEPMIU,-0.44476074,-1.3867424,15.8202950064503,8.50618270800596
BEPPAP,-0.4443612,-1.369086,15.7919941875972,8.45135557921238
BERFIP,-0.69749355,-0.104696274,31.5941711879288,20.9729866413901
BERGAI,-0.48091823,-0.9295852,21.9225105804731,13.6236748969956
BETGAK,-0.68654424,-2.9259584,34.2519180655104,18.8331190490676
BIBBUL,-0.30303577,-0.82530737,19.1585738040593,9.732189549296
BICDAU,0.058041457,-2.0298412,51.7139733508205,18.0096026637183
BOJCIN,-0.3583386,-0.38232827,16.8529475059794,9.4066409513427
BONWAD,-1.0916656,-1.2399795,35.7172605104696,20.7421780409956
BONWIL,-0.6755284,-0.69314694,24.128447444379,14.5684959215951
BOWQAG,-0.025552448,-0.21506739,28.1686658658726,12.4509043343405
BUVXOG,-0.07631233,-0.21984029,32.361212554973,13.8776364745396
BUVYEX,-0.068397224,-0.19962597,36.7693400515174,15.7117633043275
CANRUG,-0.49005693,-1.2078588,21.457357061217,13.6814197508794
CEGDUO,-0.061379116,-0.15026164,17.1833760591712,7.65947851077885
CEGWER,-1.2734772,-1.1079524,28.5929609690723,19.5464314627288
CEHZAR01,-0.35866767,-0.5030844,15.0848068235721,7.71754315851095
CESYEF,-0.34295848,-0.014971733,16.6961720328838,7.47586411603606
CESYEF01,-0.3424953,-0.0754714,16.825967410397,7.63668517796634
CICYIX,-0.9124385,-1.2531178,28.6002217241639,16.2087120320804
CIGYAU,-0.22549269,-0.078615904,15.860779787028,8.06274297888645
CISMAT01,-1.8396591,-2.712289,50.0772959598706,16.7448723324085
COGWEB,-0.32768264,-1.3605826,27.7313638825902,18.7141842630132
